Star,JD-2450000,S/N,RV(km/s),RV_error(km/s),Max_ΔRV(km/s),RUWE,AEN,Category
,9737.76,61,7.974,0.004,,,,
HD157527,9673.85,62,-52.481,0.003,0.072,0.724,0.208,3
,9737.77,44,-52.457,0.003,,,,
,10140.65,62,-52.529,0.004,,,,
HD162157,8651.68,41,-21.039,0.004,0.0013,0.966,0.105,3
,9673.84,61,-21.038,0.003,,,,
,9737.78,61,-21.039,0.003,,,,
HD168839,8650.89,55,14.440,0.003,0.022,0.828,0.081,3
,9673.87,68,14.418,0.003,,,,
,9737.80,62,14.436,0.003,,,,
HD171864,8650.70,71,-17.281,0.003,0.015,1.041,0.125,3
,9673.87,63,-17.296,0.003,,,,
,9737.82,61,-17.280,0.003,,,,
HD191716,8650.80,68,-7.836,0.003,0.026,1.02,0.12,3
,9673.88,62,-7.843,0.003,,,,
,9737.85,61,-7.817,0.003,,,,
HD193407,8651.73,41,-21.182,0.004,0.061,1.013,0.121,3
,9737.87,41,-21.243,0.003,,,,
,10140.74,61,-21.209,0.004,,,,
HD195189,8650.72,62,-24.592,0.003,0.012,0.966,0.127,3
,9737.88,42,-24.604,0.003,,,,
,10140.75,60,-24.592,0.004,,,,
HD197790,8650.89,58,-16.329,0.004,0.040,1.033,0.126,3
,9737.88,60,-16.345,0.003,,,,
,10140.77,44,-16.369,0.004,,,,
HD4737,8650.90,58,12.501,0.004,0.038,1.093,0.159,3
,9737.92,60,12.463,0.004,,,,
,10140.85,38,12.473,0.005,,,,
HD96627,8651.47,51,3.203,0.004,0.023,1.259,0.157,3
,9673.60,61,3.193,0.003,,,,
,9737.47,60,3.216,0.003,,,,
HD102216,9673.70,61,17.875,0.003,0.028,1.027,0.092,3
,9737.56,61,17.902,0.003,,,,
HD116948,8651.56,44,-18.511,0.004,0.013,0.878,0.107,3
,9673.75,61,-18.498,0.003,,,,
HD119483,9673.76,62,11.776,0.003,0.0033,1.207,0.146,3
,9737.71,62,11.779,0.003,,,,
HD136350,9673.81,60,-6.101,0.003,0.010,0.998,0.088,3
,9737.75,60,-6.111,0.003,,,,
HD162984,9673.85,61,-10.015,0.003,0.0047,0.945,0.113,3
,9737.80,60,-10.010,0.003,,,,
HD16665,9538.60,35,11.079,0.003,0.025,1.154,0.153,3
,10140.91,61,11.104,0.004,,,,
